1,0.06,186.7,2.6,25,7.5
2,0.06,186.7,2.6,30,7.5
3,0.06,140,3.4,25,10
4,0.06,140,3.4,30,10
5,0.06,93.3,4.9,25,15
6,0.06,93.3,4.7,30,145
7,0.06,70,6.1,25,20
8,0.06,70,6,30,20
9,0.06,56,7,30,25
10,0.06,46.7,8.2,25,30
11,0.06,46.7,8,30,30
12,0.06,35,10.2,25,40
13,0.06,35,9.7,30,40
14,0.06,28,11,25,50
15,0.06,28,1.3,30,50
16,0.06,28,12.7,40,50
17,0.06,23.3,11,25,60
18,0.06,23.3,12.5,30,60
19,0.06,23.3,14.2,40,60
20,0.06,17.5,12.5,30,80
21,0.06,17.5,17,40,80
22,0.06,14,19.2,40,100
23,0.09,186.7,3.9,25,7.5
24,0.09,186.7,3.9,30,7.5
25,0.09,140,5.1,25,10
26,0.09,140,5,30,10
27,0.09,93.3,7.3,25,15
28,0.09,93.3,7.1,30,15
29,0.09,70,9.2,25,20
30,0.09,70,9,30,20
31,0.09,56,10.4,30,25
32,0.09,46.7,12.3,25,30
33,0.09,46.7,12,30,30
34,0.09,35,13,25,40
35,0.09,35,14.5,30,40
36,0.09,28,16.9,30,50
37,0.09,28,19,40,50
38,0.09,23.3,16.9,30,60
39,0.09,23.3,21.4,40,60
40,0.09,17.5,25.5,40,80
41,0.09,14,28.9,40,100
42,0.12,186.7,5.2,30,7.5
43,0.12,186.7,5.3,40,7.5
44,0.12,140,6.7,30,10
45,0.12,140,7,40,10
46,0.12,93.3,9.5,30,15
47,0.12,93.3,10.1,40,15
48,0.12,70,12,30,20
49,0.12,70,12.8,40,20
50,0.12,56,13.9,30,25
51,0.12,56,15.3,40,25
52,0.12,46.7,16,30,30
53,0.12,46.7,17.2,40,30
54,0.12,35,17,30,40
55,0.12,35,21.3,40,40
56,0.12,35,21.9,50,40
57,0.12,28,25.4,40,50
58,0.12,28,25.8,50,50
59,0.12,23.3,28.5,40,60
60,0.12,23.3,29,50,60
61,0.12,17.5,34.1,40,80
62,0.12,17.5,34.7,50,80
63,0.12,14,40.1,50,100
64,0.18,186.7,8,30,7.5
65,0.18,186.7,8,40,7.5
66,0.18,140,10,30,10
