189,0.75,60,110.85,1-610-25,25,1.92
190,1.5,60,220.73,2-611-25,25,2.13
191,2.2,60,323.73,3-611-25,25,1.45
192,2.2,60,323.73,3-612-25,25,1.52
193,3.7,60,544.46,5-613-25,25,1.37
194,3.7,60,544.46,5-614-25,25,1.58
195,5.5,60,809.33,8-614-25,25,1.06
196,5.5,60,809.33,8-615-25,25,1.22
197,7.5,60,1108.53,10-616-25,25,1.55
198,7.5,60,1108.53,10-617-25,25,2.07
199,11,60,1618.65,15-616-25,25,1.05
200,11,60,1618.65,15-617-25,25,1.41
201,15,60,2207.25,15-618-25,25,1.03
202,15,60,2207.25,20-617-25,25,1.52
203,18.5,60,2727.18,20-618-25,25,1.23
204,18.5,60,2727.18,25-619-25,25,1.86
205,22,60,3237.3,30-618-25,25,1.04
206,22,60,3237.3,30-619-25,25,1.56
207,30,60,4414.5,40-619-25,25,1.15
208,0.2,52,34.14,02-608-29,29,1.2
209,0.2,52,34.14,02-609-29,29,3.35
210,0.4,52,68.28,05-609-29,29,1.68
211,0.75,52,127.53,1-610-29,29,1.84
212,1.5,52,256.04,2-611-29,29,1.9
213,2.2,52,375.72,3-611-29,29,1.3
214,2.2,52,375.72,3-613-29,29,2
215,3.7,52,631.76,5-613-29,29,1.19
216,3.7,52,631.76,5-614-29,29,1.31
217,5.5,52,938.82,8-615-29,29,1.06
218,5.5,52,938.82,8-616-29,29,1.76
219,7.5,52,1285.11,10-616-29,29,1.29
220,7.5,52,1285.11,10-617-29,29,1.91
221,11,52,1873.71,15-617-29,29,1.3
222,11,52,1873.71,15-618-29,29,1.67
223,15,52,2560.41,20-618-29,29,1.23
224,15,52,2560.41,20-619-29,29,2.01
225,18.5,52,3158.82,25-618-29,29,1
226,18.5,52,3158.82,25-619-29,29,1.63
227,22,52,3757.23,30-619-29,29,1.37
228,22,52,3757.23,30-620-29,29,1.78
229,30,52,5120.82,40-619-29,29,1
230,30,52,5120.82,40-620-29,29,1.34
231,37,52,6317.64,50-620-29,29,1.06
232,37,52,6317.64,50-621-29,29,1.29
233,45,52,7681.23,60-621-29,29,1.06
234,45,52,7681.23,60-622-29,29,1.19
235,55,52,9388.17,75-622-29,29,1
236,0.2,43,41.2,02-608-35,35,1.2
237,0.2,43,41.2,02-309-35,35,2.9
238,0.4,43,82.4,05-609-35,35,1.45
239,0.4,43,82.4,05-610-35,35,2.55
240,0.75,43,155,1-610-35,35,1.36
241,0.75,43,155,1-611-35,35,3.23
242,1.5,43,309.02,2-611-35,35,1.61
243,1.5,43,309.02,2-613-35,35,2.43
244,2.2,43,453.22,3-611-35,35,1.1
245,2.2,43,453.22,3-613-35,35,1.65
246,3.7,43,762.24,5-613-35,35,1
247,3.7,43,762.24,5-614-35,35,1.25
248,5.5,43,1137.96,8-616-35,35,1.57
249,5.5,43,1137.96,8-617-35,35,2.27
250,7.5,43,1549.98,10-616-35,35,1.15
251,7.5,43,1549.98,10-617-35,35,1.67
252,11,43,2266.11,15-617-35,35,1.14
253,11,43,2266.11,15-618-35,35,1.68
254,15,43,3090.15,20-618-35,35,1.23
255,15,43,3090.15,20-619-35,35,1.58
256,18.5,43,3816.09,25-618-35,35,1
257,18.5,43,3816.09,25-619-35,35,1.28
258,22,43,4532.22,30-619-35,35,1.08
259,0.2,35,50.62,02-608-43,43,1
260,0.2,35,50.62,02-609-43,43,2.5
261,0.4,35,101.04,05-609-43,43,1.25
262,0.4,35,101.04,05-610-43,43,2.32
263,0.75,35,190.31,1-610-43,43,1.24
264,0.75,35,190.31,1-611-43,43,2.56
265,1.5,35,379.65,2-611-43,43,1.28
266,1.5,35,379.65,2-613-43,43,1.97
267,2.2,35,557.21,3-613-43,43,1.34
268,2.2,35,557.21,3-614-43,43,1.44
269,3.7,35,936.86,5-615-43,43,1.04
270,3.7,35,936.86,5-616-43,43,1.83
271,5.5,35,1393.02,8-616-43,43,1.23
272,5.5,35,1393.02,8-617-43,43,1.69
273,7.5,35,1903.14,10-617-43,43,1.24
274,7.5,35,1903.14,10-618-43,43,2
275,11,35,2786.04,15-618-43,43,1.36
276,11,35,2786.04,15-619-43,43,1.86
277,15,35,3796.47,20-618-43,43,1
278,15,35,3796.47,20-619-43,43,1.37
279,18.5,35,4679.37,25-619-43,43,1.11
280,18.5,35,4679.37,25-620-43,43,1.48
281,22,35,5572.08,30-620-43,43,1.24
282,22,35,5572.08,30-621-43,43,1.7
283,30,35,7592.94,40-621-43,43,1.24
284,30,35,7592.94,40-622-43,43,1.52
285,37,35,9368.55,50-621-43,43,1.01
286,37,35,9368.55,50-622-43,43,1.24
287,45,35,11389.41,60-622-43,43,1.02
288,0.2,29,60.04,02-609-51,51,1.8
289,0.4,29,119.68,05-610-51,51,1.68
290,0.75,29,225.63,1-611-51,51,2.21
291,1.5,29,450.28,2-611-51,51,1.11
292,1.5,29,450.28,2-613-51,51,1.67
293,2.2,29,660.21,3-613-51,51,1.14
294,2.2,29,660.21,3-614-51,51,1.35
295,3.7,29,1108.53,5-616-51,51,1.54
296,3.7,29,1108.53,5-617-51,51,2.25
297,5.5,29,1648.08,8-616-51,51,1.04
298,5.5,29,1648.08,8-617-51,51,1.52
299,7.5,29,2256.3,10-617-51,51,1.11
300,7.5,29,2256.3,10-618-51,51,1.52
301,11,29,3305.97,15-618-51,51,1.04
302,11,29,3305.97,15-619-51,51,1.63
303,15,29,4502.79,20-619-51,51,1.19
304,0.2,25,69.45,02-609-59,59,1.65
305,0.4,25,139.3,05-610-59,59,1.5
306,0.4,25,139.3,05-611-59,59,3.42
307,0.75,25,260.95,1-611-59,59,1.83
308,1.5,25,520.91,2-613-59,59,1.43
309,1.5,25,520.91,2-614-59,59,1.87
